
-------------------------------------------------------------------------

   Type    File   Event 
      4       97      29
      8       97      29
      0       97      30
      0       97      34
      1       97      35
      1       97      39
      8       97      39
      8       97      40
      0       97      42
      5       98      13
      2       98      15
      2       98      16
      2       98      24
      3       98      32
      2       98      33
      2       98      36
      4       98      36
      1       98      41
      2       98      48
      8       98      49
      0       99       2
      0       99       3
      1       99       7
      0       99      11
      8       99      16
      2       99      19
      0       99      21
      2       99      28
      0       99      34
      2       99      35
      2       99      36
      2       99      43
      4       99      43
      7       99      44
      2       99      48
      4       99      48
      2      100       3
      4      100       3
      4      100       7
      2      100      10
      4      100      10
      1      100      15
      8      100      15
      2      100      21
      5      100      22
      8      100      22
      2      100      28
      0      100      31
      2      100      32
      4      100      32
      0      100      34
      0      100      42
      0      101       2
      0      101       7
      2      101       8
      0      101       9
      2      101      10
      2      101      15
      0      101      17
      2      101      28
      3      101      30
      0      101      36
      0      101      37
      1      101      38
      3      102       2
      0      102       7
      3      102      10
      0      102      20
      1      102      22
      5      102      22
      0      102      28
      2      102      29
      4      102      29
      2      102      30
      2      102      31
      4      102      31
      2      102      37
      4      102      37
      0      102      40
      4      103       5
      6      103       5
      8      103       9
      0      103      11
      2      103      16
      1      103      22
      5      103      22
      2      103      24
      0      103      29
      1      103      31
      2      103      36
      4      103      36
      1      103      38
      5      103      38
      1      103      47
      0      103      50
      2      104       3
      1      104       9
      2      104      11
      0      104      14
      2      104      19
      0      104      24
      8      104      36
      1      104      37
      5      104      37
      2      104      38
      4      104      38
      4      104      41
      0      104      45
      2      104      49
      4      104      49
      2      104      50
      1      105       6
      3      105       7
      8      105      12
      2      105      13
      2      105      18
      6      105      25
      1      105      27
      5      105      43
      5      105      45
      7      105      45
      1      105      50
      2      106       2
      7      106       2
      2      106       5
      1      106       6
      5      106       6
      2      106       8
      9      106      16
      3      106      16
      1      106      17
      8      106      17
      2      106      27
      1      106      28
      2      106      33
      4      106      33
      7      106      33
      2      106      35
      2      106      38
      3      107       2
      5      107       4
      8      107       4
      1      107       6
      1      107      12
      2      107      14
      1      107      20
      4      107      28
      2      107      30
      0      107      31
      0      107      36
      2      107      38
      0      107      39
      2      107      43
      4      107      43
      0      107      44
      2      107      47
      1      107      49
      5      107      49
      1      108       6
      1      108       7
      8      108       7
      1      108       9
      2      108      11
      4      108      11
      4      108      14
      2      108      16
      4      108      16
      2      108      20
      0      108      24
      1      108      28
      2      108      33
      5      108      38
      2      108      44
      4      108      44
      0      108      45
      0      108      48
      0      109       4
      0      109       5
      2      109      13
      8      109      14
      2      109      18
      0      109      19
      2      109      22
      4      109      22
      2      109      24
      0      109      25
      1      109      27
      5      109      27
      2      109      31
      4      109      31
      1      109      37
      0      109      39
      0      109      40
      1      109      49
      2      110       1
      2      110       2
      2      110      15
      4      110      15
      0      110      22
      1      110      23
      2      110      41
      2      110      44
      1      110      49
      0      111       3
      0      111       8
      1      111       9
      5      111       9
      2      111      12
      2      111      15
      4      111      15
      2      111      16
      0      111      17
      0      111      25
      1      111      31
      5      111      31
      6      111      39
      0      111      40
      0      111      44
      1      112       3
      8      112       3
      0      112       7
      2      112      11
      0      112      13
      2      112      15
      4      112      15
      1      112      16
      1      112      17
      2      112      19
      5      112      21
      2      112      23
      4      112      23
      0      112      25
      1      112      26
      5      112      26
      0      112      32
      2      112      39
      0      112      40
      2      112      44
      7      112      44
      2      112      47
      4      112      47
      4      112      48
      2      113       4
      0      113       6
      2      113       8
      4      113       8
      8      113       9
      2      113      12
      2      113      14
      4      113      14
      0      113      15
      1      113      16
      2      113      18
      1      113      24
      5      113      24
      5      113      25
      2      113      29
      4      113      29
      2      113      35
      2      113      39
      4      113      39
      5      113      40
      5      113      42
      8      113      42
      0      113      48
      1      114       7
      5      114       7
      2      114       8
      1      114       9
      2      114      11
      2      114      12
      4      114      12
     3p      114      14
      3      114      14
      2      114      17
      4      114      17
      0      114      18
      0      114      22
      5      114      25
      1      114      30
      8      114      30
      1      114      34
      2      114      35
      0      114      36
      2      114      40
      0      114      42
      5      114      45
      7      114      45
      0      114      48
      0      114      49
      9      115       7
      3      115       7
      5      115      13
      7      115      13
      0      115      15
      0      115      16
      0      115      17
